p1	p2	rg	p	p1_id	p2_id	id	method
../output_wrangling/output_pmid27989323_SCGFb_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_SCGFb_eur	pmid27455348_ALS_eur	pmid27989323_SCGFb_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_SDF1_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_SDF1_eur	pmid27455348_ALS_eur/pmid27989323_SDF1_eur	hdl
../output_wrangling/output_pmid27989323_SDF1_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_SDF1_eur	pmid27455348_ALS_eur	pmid27989323_SDF1_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_TNFa_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid27989323_TNFa_eur	pmid27455348_ALS_eur/pmid27989323_TNFa_eur	hdl
../output_wrangling/output_pmid27989323_TNFa_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid27989323_TNFa_eur	pmid27455348_ALS_eur	pmid27989323_TNFa_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	-2.9259	  4.46e-01 	pmid27455348_ALS_eur	pmid27989323_TRAIL_eur	pmid27455348_ALS_eur/pmid27989323_TRAIL_eur	hdl
../output_wrangling/output_pmid27989323_TRAIL_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	-2.9259	  4.46e-01 	pmid27989323_TRAIL_eur	pmid27455348_ALS_eur	pmid27989323_TRAIL_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	0.8169	  2.86e-10 	pmid27455348_ALS_eur	pmid29566793_ALS_eur	pmid27455348_ALS_eur/pmid29566793_ALS_eur	hdl
../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0.8169	  2.86e-10 	pmid29566793_ALS_eur	pmid27455348_ALS_eur	pmid29566793_ALS_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid33310728_RA_eur	pmid27455348_ALS_eur/pmid33310728_RA_eur	hdl
